"Var1","Var2","paper_count","sf","url"
"artificial intelligence","reservoir",1671,"'artificial+intelligence'AND'reservoir'","https://www.onepetro.org/search?q=""artificial+intelligence""AND""reservoir""&peer_reviewed=&published_between=&from_year=&to_year="
"artificial intelligence","production",1917,"'artificial+intelligence'AND'production'","https://www.onepetro.org/search?q=""artificial+intelligence""AND""production""&peer_reviewed=&published_between=&from_year=&to_year="
