"title_data","paper_id","source","type","year","author1_data"
"EOR Advisor System: A Comprehensive Approach to EOR Selection","          17798-MS ","          IPTC ","          Conference Paper",2014,"Moreno, Jaime Eduardo, Schlumberger"
"Reservoir to Surface: An Effective Combination to Unlock Oil Reserves From Aging Reservoirs","          131990-MS ","          SPE ","          Conference Paper",2010,"Moreno, J., Schlumberger"
"Multirate Welltest Design - Niger Delta Field Experience","          189138-MS ","          SPE ","          Conference Paper",2017,"Ndukwe, Reginald, The Shell Petroleum Development Company of Nigeria Limited"
"The Performance of CSEM As a De-risking Tool In Oil And Gas Exploration","          2010-0675 ","          SEG ","          Conference Paper",2010,"Hesthammer, Jonny, Rocksource ASA & Department of Earth Science, University of Bergen"
"THE WORLD SUMMIT ON SUSTAINABLE DEVELOPMENT &endash; THE PETROLEUM INDUSTRY, PERSPECTIVE AND RESPONSE","          32007 ","          WPC ","          Conference Paper",2002,"Steensnaes, Einar, Norwegian Minister for Petroleum and Energy - Norway"
"Technology &endash; A Global Asset in the 21st Century","          28013 ","          WPC ","          Conference Paper",1997,"Jaffre, Philippe, Chairman and Chief Executive Officer, Elf Aquitaine"
"Impact of Improved Seismic Data in a Mature Carbonate Production Setting, Offshore Abu Dhabi, UAE","          137194-MS ","          SPE ","          Conference Paper",2010,"Shevchek, Zyg J., ZADCO Petroleum Co"
"Pushing the Limit of Idle Well Management - A Nationwide Industry Approach","          26555-MS ","          OTC ","          Conference Paper",2016,"Mokhtar, Shahril, PETRONAS"
"Coal Utilization Options For The Future Energy And Feedstock Supplies","          84-35-43 ","          PETSOC ","          Conference Paper",1984,"Du Plessis, M.P., Alberta Research Council"
"Sub-surface and Surface Integration to Sustain Gas Production in A Field, Peninsular Malaysia Operations, PETRONAS","          136745-MS ","          SPE ","          Conference Paper",2010,"Hadi, Sriyanta, Petronas Carigali Sdn Bhd"
"Developing and Helming Competent Engineers in Production Operations, Peninsular Malaysia Operations, PETRONAS Carigali Sdn Bhd","          127731-MS ","          SPE ","          Conference Paper",2010,"Hadi, Sriyanta, Petronas Carigali Sdn Bhd"
"Prudent Integrated Production Planning and Comprehensive Review to Maintain Excellent Operations in Angsi Field, Peninsular Malaysia Operations","          117954-MS ","          SPE ","          Conference Paper",2008,"Hadi, Sriyanta, Petronas Carigali Sdn Bhd"
"Operational Challenges in Managing High CO2 Content Gas Production in Peninsular Malaysia Operations","          17082-MS ","          IPTC ","          Conference Paper",2013,"Hadi, Sriyanta, Petronas Carigali Sdn. Bhd."
"The Importance of Well Construction and Well Integrity for Reservoir Management -- A Mature Field Experience in Sudan","          100813-MS ","          SPE ","          Conference Paper",2006,"Tewari, R.D., GNPOC"
"RUTH - A Comprehensive Norwegian R & D program on IOR","          36844-MS ","          SPE ","          Conference Paper",1996,"Hinderaker, Leif, Norwegian Petroleum Directorate"
"Production Forecasting for Shale Gas Exploration Prospects Based on Statistical Analysis and Reservoir Simulation","          152639-MS ","          SPE ","          Conference Paper",2012,"Morales German, Gabriela, Schlumberger"
"A Remote Satellite Communication Terminal for the Geophysical Survey and Exploration Industry","          4382-MS ","          OTC ","          Conference Paper",1982,"Tamulonis, Geoffrey P., MIA-COM DCC, Inc."
"Hot Rock Play Ingredients, Characteristics And Potential - An Australian Perspective","          2009-4318 ","          SEG ","          Conference Paper",2009,"Goldstein, B.A., Petroleum & Geothermal Group"
"Reservoir Mapping While Drilling Tool Overcomes Geological Uncertainties- Case Studies From Offshore Malaysia","          186924-MS ","          SPE ","          Conference Paper",2017,"Yen, Philip Tan Jeng, PETRONAS"
"Flaring, Gas Injection and Reservoir Management Optimization: Preserving Reservoir Energy Maximizes Recovery and Prolong the Life of an Ageing Brown Field","          122339-MS ","          SPE ","          Conference Paper",2009,"Moreno, Jaime Eduardo, Schlumberger"
"Unlocking Reservoir Potential through Rigorous Surveillance and Field Review Post FDP: Case Study on Central Luconia Carbonate Gas Field","          186920-MS ","          SPE ","          Conference Paper",2017,"Sow, Chia Shen, PETRONAS Carigali Sdn Bhd"
"Wave Power Extracting System with Multi-Resonators Attached to Vertical Breakwaters","          I-14-078 ","          ISOPE ","          Conference Paper",2014,"Seo, JiHye, Ocean Science and Technology, Ocean and Technology (OST) School"
"Discovering New Hydrocarbon Pay Sand Beyond The Wellbore With Reservoir Mapping While Drilling Tool – A Case Study From Offshore Sabah, Malaysia","          182184-MS ","          SPE ","          Conference Paper",2016,"Kyi, Ko Ko, PETRONAS"
"Real-Time Production Surveillance Overcomes Challenges in Offshore Dual String Gaslift Wells in Baram Field, Malaysia","          24758-MS ","          OTC ","          Conference Paper",2014,"Kamis, A., PETRONAS Carigali Sdn Bhd"
"Experience with Formate Fluids for Managed Pressure Drilling and Completion of Sub-Sea Carbonate Gas Development Wells","          165761-MS ","          SPE ","          Conference Paper",2013,"Carnegie, A. W., Cabot Specialty Fluids"
"Riserless Light Well Intervention Restores Production on Oyo - 8 Subsea Well","          27589-MS ","          OTC ","          Conference Paper",2017,"Adenipekun, Adedokun, Olushola Odeyemi Erin Energy"
"East Siberian Field Waterflood Management","          176569-MS ","          SPE ","          Conference Paper",2015,"Burdakov, D. A., LLC Irkutsk Oil Company"
"A Robust Approach to Field Development Plan Integrating Multi dynamic Reservoir Models with Surface Network","          150735-MS ","          SPE ","          Conference Paper",2011,"Ojeke, Akpoebi, SNEPCO"
"Linking CO2-EOR and CO2 Storage in the Offshore Gulf of Mexico","          21986-MS ","          OTC ","          Conference Paper",2011,"Koperna, George Jonathan, Advanced Resources International, Inc."
"Phosphonic Acid Complex for Stimulating HF-Sensitive Reservoirs - A Revolutionary Response","          89415-MS ","          SPE ","          Conference Paper",2004,"Nwoke, Linus, BJ Services"
"Productive and Economic Potential of Tight Gas From the Travis Peak Formation in East Texas","          14665-MS ","          SPE ","          Conference Paper",1986,"Haas, M.R., Lewin and Assocs. Inc."
"Designing an Optimized Surfactant Flood in the Bakken","          175937-MS ","          SPE ","          Conference Paper",2015,"Dawson, Matthew, Statoil"
"Enhanced Oil Recovery in Malaysia: Making It a Reality","          93329-MS ","          SPE ","          Conference Paper",2005,"Hamdan, Mohamad Kamal, Petronas Carigali Sdn. Bhd."
"Modelling CO 2 Injection: IOR Potential after Waterflooding","          113436-MS ","          SPE ","          Conference Paper",2008,"Berenblyum, Roman, Intl Research Inst of Stavanger"
"Studies of the Effects of Xanthan on the Phase Behavior of Single-Component Surfactant/Reservoir Oil/Brine Systems Using PVT Measurements","          25176-MS ","          SPE ","          Conference Paper",1993,"Veggeland, Kirsti, Rogaland Research Inst."
"Low Pressure System: A Production Enhancement Initiative by PETRONAS","          124276-MS ","          SPE ","          Conference Paper",2009,"Abd Aziz, Mariam Binti, Petronas"
"Real Time Data Transfer To 3D Model. Maximising Wellbore Value.","          78526-MS ","          SPE ","          Conference Paper",2002,"Nicholson, H., BP"
"Simplified Network Simulation Vs. Integrated Asset Modelling for Management and Development of Offshore Gas Fields","          175597-MS ","          SPE ","          Conference Paper",2015,"Rossi, R., Eni spa"
"Renewable Energy Sources As Panacea to the Global Environmental Problems","          19-3056 ","          WPC ","          Conference Paper",2008,"Gada, Lawal, Greenado International Limited"
"Enhanced Oil Recovery Using Carbon Dioxide And Other Gases","          83-E001 ","          API ","          Conference Paper",1983,"Kuuskraa, Vello, Lewin and Associates Inc."
"The Meaning of Reserves in Context of Global Economic Security and Survival","          25829-MS ","          SPE ","          Conference Paper",1993,"Bogart, A.J., Intl. Petroleum Enterprises"
"Reducing the Miscibility Pressure in Gas Injection Oil Recovery Processes","          183389-MS ","          SPE ","          Conference Paper",2016,"Rommerskirchen, Renke, Sasol Performance Chemicals"
"The Need And Urgency For Unconventional Gas","          8921-MS ","          SPE ","          Conference Paper",1980,"Kuuskraa, Vello A., Lewin and Assocs., Inc."
"Restoring the Auca Field Potential Through Formation Damage Removal","          189520-MS ","          SPE ","          Conference Paper",2018,"Fun-Sang, B., Schlumberger"
"Enhanced Oil Recovery (EOR) Status - Colombia","          139199-MS ","          SPE ","          Conference Paper",2010,"Maya, Gustavo Adolfo, Ecopetrol S.A."
"Future of Deep Seabed Mining And Demand-Supply Trends In Indian Scenario","          M-09-049 ","          ISOPE ","          Conference Paper",2009,"Sudhakar, Maruthadu, National Centre for Antarctic and Ocean Research"
"Mechanism of a Novel Shear-Sensitive Plugging Fluid To Cure Lost Circulation","          50722-MS ","          SPE ","          Conference Paper",1999,"Quinn, David, Schlumberger Dowell"
"Development Strategy For A Niger Delta Brown Field","          14203-MS ","          OTC ","          Conference Paper",2002,"John, Ikomi G., Shell Petroleum Development Company of Nigeria Limited"
"The Technical Ladder: A Historic Perspective","          20470-MS ","          SPE ","          Conference Paper",1990,"Sauer, E.R., Exxon Research & Engineering Co."
"Experimental Study and Pilot Test of Combined Gel Treatment and Surfactant Imbibition Technology in High Temperature, High Salinity Reservoir","          185118-MS ","          SPE ","          Conference Paper",2017,"Hongyan, Cai, State Key Laboratory of Enhanced Oil Recovery, Research Institute of Petroleum Exploration and Development, CNPC"
"Competitiveness of ""Unconventional Energy"" Based on Cost & Environmental Sustainability By S. Rana, M.S., M. Eng., P.E.","          136630-MS ","          SPE ","          Conference Paper",2010,"Rana, S., Abs Consulting"
"Coalbed Methane in the Illinois Basin: Development Challenges in a Frontier Area","          72367-MS ","          SPE ","          Conference Paper",2001,"Lombardi, Tracy E., TICORA Geosciences Inc."
"Utilization of Associated Petroleum Gas (APG) - The Norwegian Experience","          136316-MS ","          SPE ","          Conference Paper",2010,"Hinderaker, Leif, Norwegian Petr. Directorate"
"Management of the Ekofisk Cessation Project (ECP)","          8093-MS ","          OTC ","          Conference Paper",1996,"Gabrielsen, Jenny, Phillips Petroleum Company"
"Unique CO2-Injection Experience in the Bati Raman Field May Lead to a Proposal of EOR/Sequestration CO2 Network in the Middle East","          139616-MS ","          SPE ","          Conference Paper",2010,"Sahin, Secaeddin, Turkish Petroleum Corp."
"Non-Technical Risk Leadership: Integration and Execution","          157575-MS ","          SPE ","          Conference Paper",2012,"Brewer, Linda,"
"A Review of Retention Mechanisms of Ethoxylated Sulfonates in Reservoir Cores","          25174-MS ","          SPE ","          Conference Paper",1993,"Austad, Tor, Rogaland Research Inst."
"Next Steps to a Framework for Global Collaboration to Drive Business Performance","          126207-MS ","          SPE ","          Conference Paper",2010,"Hepsoe, Vidar, Statoil Hydro"
"Horizontal Drilling With Coiled Tubing: A Look at Potential Application to North Sea Mature Fields in Light of Experience Onshore The Netherlands","          26715-MS ","          SPE ","          Conference Paper",1993,"Faure, A.M., Shell Research B.V."
"High-Pressure Jet Kerf Drilling Shows Significant Potential To Increase ROP","          96557-MS ","          SPE ","          Conference Paper",2005,"Cohen, John Hall, Maurer Technology Inc."
"Opportunities for 2nd & 3rd Generation CO2 Capture Technologies and Energy Integration in Natural Gas Processing for Use in EOR","          183287-MS ","          SPE ","          Conference Paper",2016,"Singh, Prachi, Research & Technology Department, Standards and Technology Division, GASCO, Abu Dhabi Gas Industries Ltd."
"Forecasting of Environmental Parameters ChangesRelated to Hydrocarbon’s Exploitation In Russian Arctic","          I-09-137 ","          ISOPE ","          Conference Paper",2009,"Pavlenko, V.I., Arctic Research Center, Russian Academy of Sciences Moscow, Russia"
"Practical Metrics for Monitoring and Assessing the Performance of CO2-EOR Floods and CO2 Storage in Mature Reservoirs","          184068-MS ","          SPE ","          Conference Paper",2016,"Pasumarti, Ashwin, Battelle Memorial Institute"
"Design and Optimization of Low-Cost Chemical Flooding","          35355-MS ","          SPE ","          Conference Paper",1996,"Wu, W., The University of Texas"
"Integrated Approach to Sand Management in Matured Field Operations","          174180-MS ","          SPE ","          Conference Paper",2015,"Ruslan, M., DONG energy"
"Reconciliation of Fracture Performance and Fracture Geometry with Design","          168199-MS ","          SPE ","          Conference Paper",2014,"Guk, Vyacheslav, RusPetro"
"Bringing Excellence in Asset Management through Streamlined Automated Reporting & KPI Tracking System","          182495-MS ","          SPE ","          Conference Paper",2016,"Ahmad, Zul Izzi B, PETRONAS Carigali Sdn Bhd"
"Carbon Capture and Sequestration: The U.S. Department of Energy's R&D Efforts to Characterize Opportunities for Deep Geologic Storage of Carbon Dioxide in Offshore Resources","          21987-MS ","          OTC ","          Conference Paper",2011,"Litynski, John, NETL"
"Field Development Plan by Optioneering Process Sensitive to Reservoir and Operational Constraints and Uncertainties","          101556-MS ","          SPE ","          Conference Paper",2006,"Kasap, Ekrem, Shell"
"Improvement of Silicate Well Treatment Methods by Nanoparticle Fillers","          155550-MS ","          SPE ","          Conference Paper",2012,"Lakatos, Istvan, U. of Miskolc"
"Sequestering Carbon Dioxide by the Use of the Energy Crop Miscanthus: Quantifying the Energy Production and Sequestration Potential of Europe","          107495-MS ","          SPE ","          Conference Paper",2007,"Hastings, Astley F., The University of Aberdeen"
"Offshore Wind Turbines: An Overview of the Effects on the Marine Environment","          I-16-317 ","          ISOPE ","          Conference Paper",2016,"Riefolo, Luigia, Politecnico di Milano"
"Special Treatment of Thermo-Hydrodynamic Well Studies in Massive Fractured Reservoirs of Crystalline Basements","          176601-MS ","          SPE ","          Conference Paper",2015,"Shtyrlin, V. Ph., (VNIIneft JSC)"
"The Evolution of Artificial Lift Completions in an Offshore Brownfield in Malaysia","          18146-MS ","          IPTC ","          Conference Paper",2014,"Zulkapli, Mohd Hanif, PETRONAS Carigali Sdn. Bhd."
"Comparative Study of a FVAWT and a FHAWT with a Semi-submersible Floater","          I-14-048 ","          ISOPE ","          Conference Paper",2014,"Wang, Kai, NOWITECH/CeSOS, NTNU"
"Classification and Management of Liquid Loading in Gas Wells","          167603-MS ","          SPE ","          Conference Paper",2013,"Joseph, A., University of Aberdeen"
"Training Control Room Staff From Local Distribution Companies","          05B2 ","          PSIG ","          Conference Paper",2005,"Aymanns, Peter, Stadtwerke Duesseldorf AG"
"A Study of IOR by CO2 Injection in the Gullfaks Field, Offshore Norway","          89338-MS ","          SPE ","          Conference Paper",2004,"Agustsson, H., Statoil ASA"
"How to Get the Most Out of Your Oil Rim Reservoirs?","          16740-MS ","          IPTC ","          Conference Paper",2013,"Masoudi, Rahim, PETRONAS"
"Oil Recovery from Thin Heavy Oil Reservoirs: The Case of the Combined Thermal Drive Pilot in the Morgan Field","          150593-MS ","          SPE ","          Conference Paper",2011,"Gutierrez, Dubert, Computer Modelling Group Ltd."
"The BP 4-D Story: Experience Over The Last 10 Years And Current Trends","          11757-MS ","          IPTC ","          Conference Paper",2007,"Foster, Dave G., BP"
"Improved Hydrocarbon Recovery in the United Kingdom Continental Shelf: Past, Present and Future","          75171-MS ","          SPE ","          Conference Paper",2002,"Jayasekera, A.J., United Kingdom Department of Trade and Industry"
"Exploration and Production: Resource Management and Allocation","          31019-MS ","          SPE ","          General",1995,"Gregory, Adrian T., Oil & Gas Division, UK Department of Trade and Industry"
"Technical Potential of Methods for Methane Extraction From Geopressured-Geothermal Fluids at High Temperature and Pressure","          9469-PA ","          SPE ","          Journal Paper",1982,"Quong, Roland, Lawrence Livermore Natl. Laboratory"
"Trends In Crude Oil And Natural Gas Reserves Additions Rates And Marginal Supply Costs For Western Canada","          89-03-10 ","          PETSOC ","          Journal Paper",1989,"Bowers, B., National Energy Board"
"Current And Required Economics In Relation to Further Alberta Enhanced Recovery of Conventional Crude","          76-03-02 ","          PETSOC ","          Journal Paper",1976,"Millard, V., Energy Resources Conservation Board. Calgary. Alberta"
"Planning And Development Of Polymer Assisted Surfactant Flooding For The Gullfaks Field, Norway","          35378-PA ","          SPE ","          Journal Paper",1998,"Maldal, T., Statoil"
"The Economic Potential of Reinjection Into Geopressured Aquifers","          10833-PA ","          SPE ","          Journal Paper",1984,"Hammershaimb, Edgar C.,"
"Integrated Approach to Sand Management in Mature-Field Operations","          1015-0097-JPT ","          SPE ","          Journal Paper",2015,"Carpenter, Chris, JPT Technology Editor"
"Interview with Ana Zambelli","          0110-010-TWA ","          SPE ","          Journal Paper",2010,"Zambelli, Ana, Schlumberger"
"World Energy Beyond 2050","          0103-0034-JPT ","          SPE ","          Journal Paper",2003,"Skov, Arlie M., _"
"EOR-Feasibility Study for a Large Carbonate Field in Kuwait","          0116-0053-JPT ","          SPE ","          Journal Paper",2016,"Carpenter, Chris, JPT Technology Editor"
"Designing an Optimized Surfactant Flood in the Bakken","          0116-0058-JPT ","          SPE ","          Journal Paper",2016,"Carpenter, Chris, JPT Technology Editor"
"Refracturing: A Second Chance To Get It Right Through Diagnostics","          0116-0063-JPT ","          SPE ","          Journal Paper",2016,"Carpenter, Chris, JPT Technology Editor"
"Investigation of Biodiesel-Based Drilling Fluid, Part 1: Biodiesel Evaluation, Invert-Emulsion Properties, and Development of a Novel Emulsifier Package","          180918-PA ","          SPE ","          Journal Paper",2016,"Li, Wai, China University of Petroleum (Beijing)"
"Enhanced Oil Recovery by CO2 Miscible Displacement in the Little Knife Field, Billings County, North Dakota","          10696-PA ","          SPE ","          Journal Paper",1984,"Desch, John B., Gulf Oil E and P Co."
"Oil Recovery From Thin Heavy-Oil Reservoirs: The Case of the Combined-Thermal-Drive Pilot in the Morgan Field","          150593-PA ","          SPE ","          Journal Paper",2013,"Gutiérrez, Dubert, Computer Modelling Group Limited"
"Unique CO2-Injection Experience in the Bati Raman Field May Lead to a Proposal of EOR/Sequestration CO2 Network in the Middle East","          139616-PA ","          SPE ","          Journal Paper",2012,"Sahin, Secaeddin, Turkish Petroleum Corporation"
"Oil Recovery From Gas-Over-Bitumen Reservoirs: Results From the AIDROH Pilot Project in Alberta","          174455-PA ","          SPE ","          Journal Paper",2015,"Hogue, Bill, Cenovus Energy"
"Video:                  Optimizing Number of Fractures in Horizontal Well","          174772-PT ","          SPE ","          Presentation",2015,"Guk, Vyacheslav, IHS Global"
