"","Var1","Var2","paper_count","sf","url"
"1","machine learning","reservoir",763,"'machine+learning'AND'reservoir'","https://www.onepetro.org/search?q=""machine+learning""AND""reservoir""&peer_reviewed=&published_between=&from_year=&to_year="
"2","machine learning","production",828,"'machine+learning'AND'production'","https://www.onepetro.org/search?q=""machine+learning""AND""production""&peer_reviewed=&published_between=&from_year=&to_year="
